"","Plot","Plant ID","Range.x","Row.x","Field.x","value","Plot Name","Block","Rep","coverage","severity","severity_new"
"1","19DR1001","19DR1001.01",2,5,"CFAR200","8","Z025E0191",1,1,8,"","U"
"2","19DR1001","19DR1001.02",2,5,"CFAR200","7","Z025E0191",1,1,7,"","U"
"3","19DR1001","19DR1001.03",2,5,"CFAR200","1","Z025E0191",1,1,1,"","U"
"4","19DR1001","19DR1001.04",2,5,"CFAR200","5","Z025E0191",1,1,5,"","U"
"5","19DR1001","19DR1001.05",2,5,"CFAR200","7","Z025E0191",1,1,7,"","U"
"6","19DR1001","19DR1001.06",2,5,"CFAR200","0","Z025E0191",1,1,0,"","U"
"7","19DR1001","19DR1001.07",2,5,"CFAR200",".","Z025E0191",1,1,NA,"","U"
"8","19DR1001","19DR1001.08",2,5,"CFAR200",".","Z025E0191",1,1,NA,"","U"
"9","19DR1001","19DR1001.09",2,5,"CFAR200",".","Z025E0191",1,1,NA,"","U"
"10","19DR1001","19DR1001.10",2,5,"CFAR200",".","Z025E0191",1,1,NA,"","U"
"11","19DR1002","19DR1002.01",2,6,"CFAR200","3","Z025E0124",1,1,3,"","U"
"12","19DR1002","19DR1002.02",2,6,"CFAR200","1","Z025E0124",1,1,1,"","U"
"13","19DR1002","19DR1002.03",2,6,"CFAR200","0","Z025E0124",1,1,0,"","U"
"14","19DR1002","19DR1002.04",2,6,"CFAR200","0","Z025E0124",1,1,0,"","U"
"15","19DR1002","19DR1002.05",2,6,"CFAR200","2","Z025E0124",1,1,2,"","U"
"16","19DR1002","19DR1002.06",2,6,"CFAR200","1","Z025E0124",1,1,1,"","U"
"17","19DR1002","19DR1002.07",2,6,"CFAR200","7","Z025E0124",1,1,7,"","U"
"18","19DR1002","19DR1002.08",2,6,"CFAR200","8","Z025E0124",1,1,8,"","U"
"19","19DR1002","19DR1002.09",2,6,"CFAR200",".","Z025E0124",1,1,NA,"","U"
"20","19DR1002","19DR1002.10",2,6,"CFAR200",".","Z025E0124",1,1,NA,"","U"
"21","19DR1003","19DR1003.01",2,7,"CFAR200","0","Z025E0155",1,1,0,"","U"
"22","19DR1003","19DR1003.02",2,7,"CFAR200","0","Z025E0155",1,1,0,"","U"
"23","19DR1003","19DR1003.03",2,7,"CFAR200","1","Z025E0155",1,1,1,"","U"
"24","19DR1003","19DR1003.04",2,7,"CFAR200","4+","Z025E0155",1,1,4,"+","M"
"25","19DR1003","19DR1003.05",2,7,"CFAR200","0","Z025E0155",1,1,0,"","U"
"26","19DR1003","19DR1003.06",2,7,"CFAR200","3","Z025E0155",1,1,3,"","U"
"27","19DR1003","19DR1003.07",2,7,"CFAR200","7+","Z025E0155",1,1,7,"+","M"
"28","19DR1003","19DR1003.08",2,7,"CFAR200","1-","Z025E0155",1,1,1,"-","L"
"29","19DR1003","19DR1003.09",2,7,"CFAR200","6+","Z025E0155",1,1,6,"+","M"
"30","19DR1003","19DR1003.10",2,7,"CFAR200","5+","Z025E0155",1,1,5,"+","M"
"31","19DR1004","19DR1004.01",2,8,"CFAR200","7+","Z025E0178",1,1,7,"+","M"
"32","19DR1004","19DR1004.02",2,8,"CFAR200","1-","Z025E0178",1,1,1,"-","L"
"33","19DR1004","19DR1004.03",2,8,"CFAR200","1-","Z025E0178",1,1,1,"-","L"
"34","19DR1004","19DR1004.04",2,8,"CFAR200","0","Z025E0178",1,1,0,"","U"
"35","19DR1004","19DR1004.05",2,8,"CFAR200","0","Z025E0178",1,1,0,"","U"
"36","19DR1004","19DR1004.06",2,8,"CFAR200","1-","Z025E0178",1,1,1,"-","L"
"37","19DR1004","19DR1004.07",2,8,"CFAR200","6","Z025E0178",1,1,6,"","U"
"38","19DR1004","19DR1004.08",2,8,"CFAR200",".","Z025E0178",1,1,NA,"","U"
"39","19DR1004","19DR1004.09",2,8,"CFAR200",".","Z025E0178",1,1,NA,"","U"
"40","19DR1004","19DR1004.10",2,8,"CFAR200",".","Z025E0178",1,1,NA,"","U"
"41","19DR1005","19DR1005.01",2,9,"CFAR200","6+","Z025E0141",1,1,6,"+","M"
"42","19DR1005","19DR1005.02",2,9,"CFAR200","1-","Z025E0141",1,1,1,"-","L"
"43","19DR1005","19DR1005.03",2,9,"CFAR200","0","Z025E0141",1,1,0,"","U"
"44","19DR1005","19DR1005.04",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"45","19DR1005","19DR1005.05",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"46","19DR1005","19DR1005.06",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"47","19DR1005","19DR1005.07",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"48","19DR1005","19DR1005.08",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"49","19DR1005","19DR1005.09",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"50","19DR1005","19DR1005.10",2,9,"CFAR200",".","Z025E0141",1,1,NA,"","U"
"51","19DR1006","19DR1006.01",2,10,"CFAR200","0","Z025E0041",1,1,0,"","U"
"52","19DR1006","19DR1006.02",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"53","19DR1006","19DR1006.03",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"54","19DR1006","19DR1006.04",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"55","19DR1006","19DR1006.05",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"56","19DR1006","19DR1006.06",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"57","19DR1006","19DR1006.07",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"58","19DR1006","19DR1006.08",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"59","19DR1006","19DR1006.09",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"60","19DR1006","19DR1006.10",2,10,"CFAR200",".","Z025E0041",1,1,NA,"","U"
"61","19DR1007","19DR1007.01",2,11,"CFAR200","0","Z025E0172",1,1,0,"","U"
"62","19DR1007","19DR1007.02",2,11,"CFAR200","0","Z025E0172",1,1,0,"","U"
"63","19DR1007","19DR1007.03",2,11,"CFAR200","1-","Z025E0172",1,1,1,"-","L"
"64","19DR1007","19DR1007.04",2,11,"CFAR200","0","Z025E0172",1,1,0,"","U"
